measurement_time,measurement_name,value
2019-09-01 01:12:00,Temp_2,30.795
2019-09-01 01:12:00,Temp_1,30.0
2019-09-01 01:24:00,Temp_1,30.0
2019-09-01 01:24:00,Temp_2,30.795
2019-09-01 01:42:00,Temp_1,30.0
2019-09-01 01:42:00,Temp_2,30.795
2019-09-01 01:54:00,Temp_2,30.795
2019-09-01 01:54:00,Temp_1,30.0
2019-09-01 02:12:00,Temp_2,30.705
2019-09-01 02:12:00,Temp_1,30.0
2019-09-01 02:24:00,Temp_2,30.795
2019-09-01 02:24:00,Temp_1,29.895
2019-09-01 02:42:00,Temp_2,30.795
2019-09-01 02:42:00,Temp_1,30.0
2019-09-01 02:54:00,Temp_2,30.795
2019-09-01 02:54:00,Temp_1,30.0
2019-09-01 03:12:00,Temp_2,30.78
2019-09-01 03:12:00,Temp_1,30.0
2019-09-01 03:24:00,Temp_1,30.0
2019-09-01 03:24:00,Temp_2,30.705
2019-09-01 03:42:00,Temp_1,30.0
2019-09-01 03:42:00,Temp_2,30.705
2019-09-01 03:54:00,Temp_2,30.705
2019-09-01 03:54:00,Temp_1,30.0
2019-09-01 04:12:00,Temp_2,30.645
2019-09-01 04:12:00,Temp_1,30.105
2019-09-01 04:24:00,Temp_2,30.705
2019-09-01 04:24:00,Temp_1,30.0
2019-09-01 04:42:00,Temp_2,30.795
2019-09-01 04:42:00,Temp_1,30.0
2019-09-01 04:54:00,Temp_2,30.78
2019-09-01 04:54:00,Temp_1,30.0
2019-09-01 05:12:00,Temp_1,30.0
2019-09-01 05:12:00,Temp_2,30.705
2019-09-01 05:24:00,Temp_1,30.0
2019-09-01 05:24:00,Temp_2,30.795
2019-09-01 05:42:00,Temp_2,30.705
2019-09-01 05:42:00,Temp_1,30.0
2019-09-01 05:54:00,Temp_2,30.78
2019-09-01 05:54:00,Temp_1,30.0
2019-09-01 06:12:00,Temp_2,30.93
2019-09-01 06:12:00,Temp_1,30.0
2019-09-01 06:24:00,Temp_1,30.0
2019-09-01 06:24:00,Temp_2,30.795
2019-09-01 06:42:00,Temp_2,30.705
2019-09-01 06:42:00,Temp_1,29.955
2019-09-01 06:54:00,Temp_1,30.0
2019-09-01 06:54:00,Temp_2,30.795
2019-09-01 07:12:00,Temp_1,30.0
2019-09-01 07:12:00,Temp_2,30.6
2019-09-01 07:24:00,Temp_2,30.705
2019-09-01 07:24:00,Temp_1,29.895
2019-09-01 07:42:00,Temp_2,30.705
2019-09-01 07:42:00,Temp_1,30.0
2019-09-01 07:54:00,Temp_1,30.105
2019-09-01 07:54:00,Temp_2,30.6
2019-09-01 08:12:00,Temp_2,30.705
2019-09-01 08:12:00,Temp_1,30.0
2019-09-01 08:24:00,Temp_1,30.0
2019-09-01 08:24:00,Temp_2,30.705
2019-09-01 08:42:00,Temp_1,30.0
2019-09-01 08:42:00,Temp_2,30.705
2019-09-01 08:54:00,Temp_1,30.0
2019-09-01 08:54:00,Temp_2,30.6
2019-09-01 09:12:00,Temp_1,30.0
2019-09-01 09:12:00,Temp_2,30.705
2019-09-01 09:24:00,Temp_2,30.675
2019-09-01 09:24:00,Temp_1,30.03
2019-09-01 09:42:00,Temp_2,31.005
2019-09-01 09:42:00,Temp_1,29.97
2019-09-01 09:54:00,Temp_1,30.0
2019-09-01 09:54:00,Temp_2,30.795
2019-09-01 10:12:00,Temp_2,30.6
2019-09-01 10:12:00,Temp_1,30.0
2019-09-01 10:24:00,Temp_1,30.0
2019-09-01 10:24:00,Temp_2,30.495
2019-09-01 10:42:00,Temp_1,30.105
2019-09-01 10:42:00,Temp_2,30.495
2019-09-01 10:54:00,Temp_2,30.495
2019-09-01 10:54:00,Temp_1,30.0
2019-09-01 11:12:00,Temp_2,30.45
2019-09-01 11:12:00,Temp_1,30.0
2019-09-01 11:24:00,Temp_1,30.0
2019-09-01 11:24:00,Temp_2,30.6
2019-09-01 11:42:00,Temp_2,30.405
2019-09-01 11:42:00,Temp_1,30.0
2019-09-01 11:54:00,Temp_1,30.0
2019-09-01 11:54:00,Temp_2,30.6
2019-09-01 12:12:00,Temp_1,30.0
2019-09-01 12:12:00,Temp_2,30.495
2019-09-01 12:24:00,Temp_2,30.405
2019-09-01 12:24:00,Temp_1,30.0
2019-09-01 12:42:00,Temp_1,30.105
2019-09-01 12:42:00,Temp_2,30.405
2019-09-01 12:54:00,Temp_2,30.48
2019-09-01 12:54:00,Temp_1,30.0
2019-09-01 13:12:00,Temp_1,30.0
2019-09-01 13:12:00,Temp_2,30.405
2019-09-01 13:24:00,Temp_1,30.0
2019-09-01 13:24:00,Temp_2,30.495
2019-09-01 13:42:00,Temp_1,30.0
2019-09-01 13:42:00,Temp_2,30.42
2019-09-01 13:54:00,Temp_2,30.705
2019-09-01 13:54:00,Temp_1,30.0
2019-09-01 14:12:00,Temp_2,30.3
2019-09-01 14:12:00,Temp_1,30.105
2019-09-01 14:24:00,Temp_2,30.405
2019-09-01 14:24:00,Temp_1,29.895
2019-09-01 14:42:00,Temp_1,30.0
2019-09-01 14:42:00,Temp_2,30.33
2019-09-01 14:54:00,Temp_2,30.3
2019-09-01 14:54:00,Temp_1,30.0
2019-09-01 15:12:00,Temp_2,30.3
2019-09-01 15:12:00,Temp_1,30.105
2019-09-01 15:24:00,Temp_2,30.495
2019-09-01 15:24:00,Temp_1,30.0
2019-09-01 15:42:00,Temp_1,29.895
2019-09-01 15:42:00,Temp_2,30.3
2019-09-01 15:54:00,Temp_1,30.0
2019-09-01 15:54:00,Temp_2,30.3
2019-09-01 16:12:00,Temp_1,30.105
2019-09-01 16:12:00,Temp_2,30.3
2019-09-01 16:24:00,Temp_1,29.97
2019-09-01 16:24:00,Temp_2,30.495
2019-09-01 16:42:00,Temp_1,30.045
2019-09-01 16:42:00,Temp_2,30.495
2019-09-01 16:54:00,Temp_1,30.0
2019-09-01 16:54:00,Temp_2,30.375
2019-09-01 17:12:00,Temp_1,30.0
2019-09-01 17:12:00,Temp_2,30.3
2019-09-01 17:24:00,Temp_1,30.0
2019-09-01 17:24:00,Temp_2,30.405
2019-09-01 17:42:00,Temp_1,30.0
2019-09-01 17:42:00,Temp_2,30.3
2019-09-01 17:54:00,Temp_1,30.0
2019-09-01 17:54:00,Temp_2,30.3
2019-09-01 18:12:00,Temp_1,30.0
2019-09-01 18:12:00,Temp_2,30.195
2019-09-01 18:24:00,Temp_1,30.0
2019-09-01 18:24:00,Temp_2,30.3
2019-09-01 18:42:00,Temp_1,30.0
2019-09-01 18:42:00,Temp_2,30.195
2019-09-01 18:54:00,Temp_2,30.27
2019-09-01 18:54:00,Temp_1,30.0
2019-09-01 19:12:00,Temp_2,30.495
2019-09-01 19:12:00,Temp_1,30.105
2019-09-01 19:24:00,Temp_1,30.105
2019-09-01 19:24:00,Temp_2,30.3
2019-09-01 19:42:00,Temp_1,30.0
2019-09-01 19:42:00,Temp_2,30.27
2019-09-01 19:54:00,Temp_1,30.0
2019-09-01 19:54:00,Temp_2,30.105
2019-09-01 20:12:00,Temp_1,30.0
2019-09-01 20:12:00,Temp_2,30.195
2019-09-01 20:24:00,Temp_1,29.97
2019-09-01 20:24:00,Temp_2,30.12
2019-09-01 20:42:00,Temp_2,30.075
2019-09-01 20:42:00,Temp_1,30.0
